INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD
1990.0,BKF-PBL,DISTRICT1
2000.0,BKF-SHW,DISTRICT1
2007.0,BKF-BL,DISTRICT1
2007.0,BKF-SHW,DISTRICT1
2008.0,BKF-SHW,DISTRICT1
2009.0,BKF-BL,DISTRICT1
2009.0,BKF-SHW,DISTRICT1
2010.0,BKF-BL,DISTRICT1
2010.0,BKF-SHW,DISTRICT1
2011.0,BKF-BL,DISTRICT1
2012.0,BKF-BL,DISTRICT1
2012.0,BKF-NGW,DISTRICT1
2012.0,BKF-SHW,DISTRICT1
2013.0,BKF-BL,DISTRICT1
2013.0,BKF-SHW,DISTRICT1
2015.0,BKF-BL,DISTRICT1
2015.0,BKF-NGW,DISTRICT1
2015.0,BKF-OFFST,DISTRICT1
2015.0,BKF-PBL,DISTRICT1
2016.0,BKF-BL,DISTRICT1
2016.0,BKF-NGW,DISTRICT1
2018.0,BKF-NGW,DISTRICT1
2019.0,BKF-NGW,DISTRICT1
2020.0,BKF-PBL,DISTRICT1
2021.0,BKF-NGW,DISTRICT1
