INSTALL_DATE,CATEGORY,PRIMARYDISTRICTCD,NUM
2000.0,BKF-BL,DISTRICT4,3
2007.0,BKF-BL,DISTRICT4,20
2007.0,BKF-SHW,DISTRICT4,15
2008.0,BKF-BL,DISTRICT4,11
2008.0,BKF-PBL,DISTRICT4,6
2008.0,BKF-SHW,DISTRICT4,46
2009.0,BKF-BL,DISTRICT4,17
2009.0,BKF-SHW,DISTRICT4,15
2010.0,BKF-BL,DISTRICT4,42
2010.0,BKF-SHW,DISTRICT4,7
2011.0,BKF-BL,DISTRICT4,6
2011.0,BKF-SHW,DISTRICT4,8
2012.0,BKF-BL,DISTRICT4,6
2012.0,BKF-NGW,DISTRICT4,26
2012.0,BKF-PBL,DISTRICT4,1
2012.0,BKF-SHW,DISTRICT4,2
2013.0,BKF-BL,DISTRICT4,20
2014.0,BKF-BL,DISTRICT4,1
2014.0,BKF-NGW,DISTRICT4,12
2015.0,BKF-BL,DISTRICT4,1
2015.0,BKF-PBL,DISTRICT4,29
2016.0,BKF-BL,DISTRICT4,1
2016.0,BKF-NGW,DISTRICT4,3
2016.0,BKF-PBL,DISTRICT4,22
2017.0,BKF-PBL,DISTRICT4,15
2019.0,BKF-NGW,DISTRICT4,3
2019.0,BKF-PBL,DISTRICT4,16
2021.0,BKF-NGW,DISTRICT4,2
