Date,26th Ave SW Greenway at SW Oregon St Total,North,South
01/01/2019 12:00:00 AM,0,0,0
01/01/2019 01:00:00 AM,0,0,0
01/01/2019 02:00:00 AM,0,0,0
01/01/2019 03:00:00 AM,0,0,0
01/01/2019 04:00:00 AM,0,0,0
01/01/2019 05:00:00 AM,0,0,0
01/01/2019 06:00:00 AM,0,0,0
01/01/2019 07:00:00 AM,0,0,0
01/01/2019 08:00:00 AM,0,0,0
01/01/2019 09:00:00 AM,1,1,0
01/01/2019 10:00:00 AM,3,3,0
01/01/2019 11:00:00 AM,0,0,0
01/01/2019 12:00:00 PM,3,2,1
01/01/2019 01:00:00 PM,7,5,2
01/01/2019 02:00:00 PM,2,1,1
01/01/2019 03:00:00 PM,4,1,3
01/01/2019 04:00:00 PM,2,2,0
01/01/2019 05:00:00 PM,1,0,1
01/01/2019 06:00:00 PM,0,0,0
01/01/2019 07:00:00 PM,1,1,0
01/01/2019 08:00:00 PM,1,0,1
01/01/2019 09:00:00 PM,0,0,0
01/01/2019 10:00:00 PM,0,0,0
01/01/2019 11:00:00 PM,1,0,1
01/02/2019 12:00:00 AM,0,0,0
01/02/2019 01:00:00 AM,0,0,0
01/02/2019 02:00:00 AM,0,0,0
01/02/2019 03:00:00 AM,0,0,0
01/02/2019 04:00:00 AM,0,0,0
01/02/2019 05:00:00 AM,0,0,0
01/02/2019 06:00:00 AM,7,7,0
01/02/2019 07:00:00 AM,10,10,0
01/02/2019 08:00:00 AM,9,8,1
01/02/2019 09:00:00 AM,2,2,0
01/02/2019 10:00:00 AM,4,4,0
01/02/2019 11:00:00 AM,2,1,1
01/02/2019 12:00:00 PM,1,1,0
01/02/2019 01:00:00 PM,0,0,0
01/02/2019 02:00:00 PM,1,0,1
01/02/2019 03:00:00 PM,5,1,4
01/02/2019 04:00:00 PM,2,0,2
01/02/2019 05:00:00 PM,9,1,8
01/02/2019 06:00:00 PM,3,0,3
01/02/2019 07:00:00 PM,0,0,0
01/02/2019 08:00:00 PM,1,0,1
01/02/2019 09:00:00 PM,1,0,1
01/02/2019 10:00:00 PM,0,0,0
01/02/2019 11:00:00 PM,0,0,0
01/03/2019 12:00:00 AM,0,0,0
01/03/2019 01:00:00 AM,0,0,0
01/03/2019 02:00:00 AM,0,0,0
01/03/2019 03:00:00 AM,0,0,0
01/03/2019 04:00:00 AM,0,0,0
01/03/2019 05:00:00 AM,0,0,0
01/03/2019 06:00:00 AM,6,6,0
01/03/2019 07:00:00 AM,3,2,1
01/03/2019 08:00:00 AM,7,7,0
01/03/2019 09:00:00 AM,2,2,0
01/03/2019 10:00:00 AM,1,1,0
01/03/2019 11:00:00 AM,2,2,0
01/03/2019 12:00:00 PM,0,0,0
01/03/2019 01:00:00 PM,2,2,0
01/03/2019 02:00:00 PM,0,0,0
01/03/2019 03:00:00 PM,4,1,3
01/03/2019 04:00:00 PM,2,0,2
01/03/2019 05:00:00 PM,5,0,5
01/03/2019 06:00:00 PM,3,0,3
01/03/2019 07:00:00 PM,0,0,0
01/03/2019 08:00:00 PM,1,0,1
01/03/2019 09:00:00 PM,0,0,0
01/03/2019 10:00:00 PM,0,0,0
01/03/2019 11:00:00 PM,0,0,0
01/04/2019 12:00:00 AM,1,1,0
01/04/2019 01:00:00 AM,0,0,0
01/04/2019 02:00:00 AM,0,0,0
01/04/2019 03:00:00 AM,0,0,0
01/04/2019 04:00:00 AM,0,0,0
01/04/2019 05:00:00 AM,0,0,0
01/04/2019 06:00:00 AM,4,4,0
01/04/2019 07:00:00 AM,7,7,0
01/04/2019 08:00:00 AM,5,5,0
01/04/2019 09:00:00 AM,2,1,1
01/04/2019 10:00:00 AM,5,5,0
01/04/2019 11:00:00 AM,0,0,0
01/04/2019 12:00:00 PM,2,2,0
01/04/2019 01:00:00 PM,1,1,0
01/04/2019 02:00:00 PM,1,1,0
01/04/2019 03:00:00 PM,1,1,0
01/04/2019 04:00:00 PM,2,0,2
01/04/2019 05:00:00 PM,5,0,5
01/04/2019 06:00:00 PM,4,1,3
01/04/2019 07:00:00 PM,2,1,1
01/04/2019 08:00:00 PM,0,0,0
01/04/2019 09:00:00 PM,1,0,1
01/04/2019 10:00:00 PM,0,0,0
01/04/2019 11:00:00 PM,0,0,0
01/05/2019 12:00:00 AM,0,0,0
01/05/2019 01:00:00 AM,0,0,0
01/05/2019 02:00:00 AM,0,0,0
01/05/2019 03:00:00 AM,0,0,0
01/05/2019 04:00:00 AM,0,0,0
01/05/2019 05:00:00 AM,0,0,0
01/05/2019 06:00:00 AM,0,0,0
01/05/2019 07:00:00 AM,1,1,0
01/05/2019 08:00:00 AM,3,3,0
