Date,2nd Ave Cycletrack,NB,SB
03/01/2020 12:00:00 AM,4,1,3
03/01/2020 01:00:00 AM,4,3,1
03/01/2020 02:00:00 AM,0,0,0
03/01/2020 03:00:00 AM,1,1,0
03/01/2020 04:00:00 AM,0,0,0
03/01/2020 05:00:00 AM,2,1,1
03/01/2020 06:00:00 AM,3,1,2
03/01/2020 07:00:00 AM,6,4,2
03/01/2020 08:00:00 AM,13,9,4
03/01/2020 09:00:00 AM,15,9,6
03/01/2020 10:00:00 AM,24,17,7
03/01/2020 11:00:00 AM,82,70,12
03/01/2020 12:00:00 PM,20,15,5
03/01/2020 01:00:00 PM,31,14,17
03/01/2020 02:00:00 PM,73,19,54
03/01/2020 03:00:00 PM,37,15,22
03/01/2020 04:00:00 PM,36,16,20
03/01/2020 05:00:00 PM,24,13,11
03/01/2020 06:00:00 PM,16,8,8
03/01/2020 07:00:00 PM,4,0,4
03/01/2020 08:00:00 PM,13,7,6
03/01/2020 09:00:00 PM,2,1,1
03/01/2020 10:00:00 PM,10,3,7
03/01/2020 11:00:00 PM,7,4,3
03/02/2020 12:00:00 AM,1,1,0
03/02/2020 01:00:00 AM,0,0,0
03/02/2020 02:00:00 AM,0,0,0
03/02/2020 03:00:00 AM,0,0,0
03/02/2020 04:00:00 AM,3,1,2
03/02/2020 05:00:00 AM,18,3,15
03/02/2020 06:00:00 AM,27,9,18
03/02/2020 07:00:00 AM,109,40,69
03/02/2020 08:00:00 AM,135,57,78
03/02/2020 09:00:00 AM,69,31,38
03/02/2020 10:00:00 AM,27,14,13
03/02/2020 11:00:00 AM,25,13,12
03/02/2020 12:00:00 PM,29,13,16
03/02/2020 01:00:00 PM,30,15,15
03/02/2020 02:00:00 PM,36,21,15
03/02/2020 03:00:00 PM,45,32,13
03/02/2020 04:00:00 PM,142,95,47
03/02/2020 05:00:00 PM,172,125,47
03/02/2020 06:00:00 PM,79,53,26
03/02/2020 07:00:00 PM,25,17,8
03/02/2020 08:00:00 PM,12,7,5
03/02/2020 09:00:00 PM,12,9,3
03/02/2020 10:00:00 PM,2,0,2
03/02/2020 11:00:00 PM,7,4,3
03/03/2020 12:00:00 AM,4,3,1
