Date,2100 7th Ave Display Total
08/01/2019 12:00:00 AM,0
08/01/2019 01:00:00 AM,0
08/01/2019 02:00:00 AM,0
08/01/2019 03:00:00 AM,0
08/01/2019 04:00:00 AM,0
08/01/2019 05:00:00 AM,0
08/01/2019 06:00:00 AM,0
08/01/2019 07:00:00 AM,2
08/01/2019 08:00:00 AM,2
08/01/2019 09:00:00 AM,1
08/01/2019 10:00:00 AM,0
08/01/2019 11:00:00 AM,2
08/01/2019 12:00:00 PM,0
08/01/2019 01:00:00 PM,1
08/01/2019 02:00:00 PM,3
08/01/2019 03:00:00 PM,4
08/01/2019 04:00:00 PM,5
08/01/2019 05:00:00 PM,19
08/01/2019 06:00:00 PM,9
08/01/2019 07:00:00 PM,6
08/01/2019 08:00:00 PM,4
08/01/2019 09:00:00 PM,1
08/01/2019 10:00:00 PM,0
08/01/2019 11:00:00 PM,1
08/02/2019 12:00:00 AM,1
08/02/2019 01:00:00 AM,0
08/02/2019 02:00:00 AM,0
08/02/2019 03:00:00 AM,0
08/02/2019 04:00:00 AM,1
08/02/2019 05:00:00 AM,2
08/02/2019 06:00:00 AM,0
08/02/2019 07:00:00 AM,0
08/02/2019 08:00:00 AM,1
08/02/2019 09:00:00 AM,1
08/02/2019 10:00:00 AM,2
08/02/2019 11:00:00 AM,1
08/02/2019 12:00:00 PM,2
08/02/2019 01:00:00 PM,3
08/02/2019 02:00:00 PM,1
08/02/2019 03:00:00 PM,5
08/02/2019 04:00:00 PM,9
08/02/2019 05:00:00 PM,9
08/02/2019 06:00:00 PM,13
08/02/2019 07:00:00 PM,3
08/02/2019 08:00:00 PM,2
08/02/2019 09:00:00 PM,0
08/02/2019 10:00:00 PM,2
08/02/2019 11:00:00 PM,0
08/03/2019 12:00:00 AM,0
08/03/2019 01:00:00 AM,0
08/03/2019 02:00:00 AM,1
08/03/2019 03:00:00 AM,0
08/03/2019 04:00:00 AM,0
08/03/2019 05:00:00 AM,0
08/03/2019 06:00:00 AM,0
08/03/2019 07:00:00 AM,0
08/03/2019 08:00:00 AM,0
08/03/2019 09:00:00 AM,0
08/03/2019 10:00:00 AM,0
08/03/2019 11:00:00 AM,2
08/03/2019 12:00:00 PM,29
08/03/2019 01:00:00 PM,1
08/03/2019 02:00:00 PM,2
08/03/2019 03:00:00 PM,6
08/03/2019 04:00:00 PM,0
08/03/2019 05:00:00 PM,2
08/03/2019 06:00:00 PM,0
08/03/2019 07:00:00 PM,3
08/03/2019 08:00:00 PM,3
08/03/2019 09:00:00 PM,4
08/03/2019 10:00:00 PM,1
08/03/2019 11:00:00 PM,1
08/04/2019 12:00:00 AM,1
08/04/2019 01:00:00 AM,4
08/04/2019 02:00:00 AM,0
08/04/2019 03:00:00 AM,1
08/04/2019 04:00:00 AM,0
08/04/2019 05:00:00 AM,0
08/04/2019 06:00:00 AM,1
08/04/2019 07:00:00 AM,0
08/04/2019 08:00:00 AM,1
08/04/2019 09:00:00 AM,0
08/04/2019 10:00:00 AM,2
08/04/2019 11:00:00 AM,3
08/04/2019 12:00:00 PM,0
08/04/2019 01:00:00 PM,5
08/04/2019 02:00:00 PM,2
08/04/2019 03:00:00 PM,1
08/04/2019 04:00:00 PM,1
08/04/2019 05:00:00 PM,4
08/04/2019 06:00:00 PM,2
