Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
06/01/2020 12:00:00 AM,5,2,1,1,1
06/01/2020 01:00:00 AM,0,0,0,0,0
06/01/2020 02:00:00 AM,1,0,0,1,0
06/01/2020 03:00:00 AM,1,1,0,0,0
06/01/2020 04:00:00 AM,1,0,0,1,0
06/01/2020 05:00:00 AM,30,14,7,8,1
06/01/2020 06:00:00 AM,103,54,31,10,8
06/01/2020 07:00:00 AM,200,81,82,17,20
06/01/2020 08:00:00 AM,182,74,64,13,31
06/01/2020 09:00:00 AM,164,53,68,23,20
06/01/2020 10:00:00 AM,212,93,68,27,24
06/01/2020 11:00:00 AM,264,113,103,26,22
06/01/2020 12:00:00 PM,356,134,132,50,40
06/01/2020 01:00:00 PM,294,111,100,36,47
06/01/2020 02:00:00 PM,397,174,123,46,54
06/01/2020 03:00:00 PM,415,145,145,64,61
06/01/2020 04:00:00 PM,581,273,164,91,53
06/01/2020 05:00:00 PM,844,339,290,129,86
06/01/2020 06:00:00 PM,464,155,175,54,80
06/01/2020 07:00:00 PM,237,76,90,33,38
06/01/2020 08:00:00 PM,131,25,64,21,21
06/01/2020 09:00:00 PM,46,11,20,8,7
06/01/2020 10:00:00 PM,15,3,8,3,1
06/01/2020 11:00:00 PM,2,0,1,0,1
06/02/2020 12:00:00 AM,2,1,0,1,0
06/02/2020 01:00:00 AM,6,0,1,5,0
06/02/2020 02:00:00 AM,0,0,0,0,0
06/02/2020 03:00:00 AM,2,2,0,0,0
06/02/2020 04:00:00 AM,2,0,1,1,0
06/02/2020 05:00:00 AM,40,18,12,6,4
06/02/2020 06:00:00 AM,133,56,46,16,15
06/02/2020 07:00:00 AM,238,104,95,18,21
06/02/2020 08:00:00 AM,206,82,84,13,27
06/02/2020 09:00:00 AM,198,70,75,33,20
06/02/2020 10:00:00 AM,214,83,86,25,20
06/02/2020 11:00:00 AM,202,94,61,26,21
06/02/2020 12:00:00 PM,301,102,117,49,33
06/02/2020 01:00:00 PM,236,97,87,30,22
06/02/2020 02:00:00 PM,235,71,77,41,46
06/02/2020 03:00:00 PM,231,83,78,33,37
06/02/2020 04:00:00 PM,180,68,63,35,14
06/02/2020 05:00:00 PM,315,131,95,57,32
06/02/2020 06:00:00 PM,434,199,153,40,42
06/02/2020 07:00:00 PM,352,124,159,37,32
06/02/2020 08:00:00 PM,211,60,104,27,20
06/02/2020 09:00:00 PM,50,13,26,5,6
06/02/2020 10:00:00 PM,5,1,4,0,0
06/02/2020 11:00:00 PM,10,3,2,4,1
06/03/2020 12:00:00 AM,9,0,2,3,4
06/03/2020 01:00:00 AM,1,1,0,0,0
06/03/2020 02:00:00 AM,1,0,0,1,0
06/03/2020 03:00:00 AM,2,1,1,0,0
06/03/2020 04:00:00 AM,5,3,0,2,0
06/03/2020 05:00:00 AM,36,15,6,10,5
06/03/2020 06:00:00 AM,148,66,45,19,18
06/03/2020 07:00:00 AM,269,116,101,23,29
06/03/2020 08:00:00 AM,230,83,98,20,29
06/03/2020 09:00:00 AM,179,65,71,22,21
06/03/2020 10:00:00 AM,186,65,75,20,26
06/03/2020 11:00:00 AM,274,105,103,36,30
06/03/2020 12:00:00 PM,282,123,106,28,25
06/03/2020 01:00:00 PM,286,118,112,34,22
06/03/2020 02:00:00 PM,341,97,110,68,66
06/03/2020 03:00:00 PM,310,91,111,52,56
06/03/2020 04:00:00 PM,405,155,124,66,60
06/03/2020 05:00:00 PM,556,212,174,100,70
06/03/2020 06:00:00 PM,547,201,213,70,63
06/03/2020 07:00:00 PM,385,133,162,44,46
06/03/2020 08:00:00 PM,190,63,88,15,24
06/03/2020 09:00:00 PM,47,12,26,6,3
06/03/2020 10:00:00 PM,15,7,6,0,2
06/03/2020 11:00:00 PM,11,1,8,2,0
06/04/2020 12:00:00 AM,3,1,0,0,2
06/04/2020 01:00:00 AM,3,0,0,2,1
06/04/2020 02:00:00 AM,1,1,0,0,0
06/04/2020 03:00:00 AM,1,1,0,0,0
06/04/2020 04:00:00 AM,6,2,2,1,1
06/04/2020 05:00:00 AM,23,13,5,5,0
06/04/2020 06:00:00 AM,134,59,40,22,13
06/04/2020 07:00:00 AM,207,77,80,28,22
06/04/2020 08:00:00 AM,173,56,65,21,31
06/04/2020 09:00:00 AM,159,53,53,32,21
06/04/2020 10:00:00 AM,156,65,59,9,23
06/04/2020 11:00:00 AM,210,76,75,34,25
06/04/2020 12:00:00 PM,234,90,79,36,29
06/04/2020 01:00:00 PM,247,95,86,30,36
06/04/2020 02:00:00 PM,287,99,113,36,39
06/04/2020 03:00:00 PM,324,119,109,51,45
06/04/2020 04:00:00 PM,482,188,137,103,54
06/04/2020 05:00:00 PM,657,261,194,107,95
06/04/2020 06:00:00 PM,750,311,223,118,98
06/04/2020 07:00:00 PM,591,189,262,74,66
06/04/2020 08:00:00 PM,366,112,175,41,38
06/04/2020 09:00:00 PM,118,31,60,7,20
06/04/2020 10:00:00 PM,16,3,7,2,4
06/04/2020 11:00:00 PM,3,1,1,1,0
06/05/2020 12:00:00 AM,5,1,1,1,2
06/05/2020 01:00:00 AM,7,2,4,1,0
06/05/2020 02:00:00 AM,4,0,0,2,2
06/05/2020 03:00:00 AM,0,0,0,0,0
06/05/2020 04:00:00 AM,7,2,1,2,2
06/05/2020 05:00:00 AM,22,13,2,5,2
06/05/2020 06:00:00 AM,114,51,34,17,12
06/05/2020 07:00:00 AM,225,96,81,27,21
06/05/2020 08:00:00 AM,201,70,97,16,18
06/05/2020 09:00:00 AM,143,60,44,21,18
06/05/2020 10:00:00 AM,186,74,76,20,16
06/05/2020 11:00:00 AM,260,94,89,36,41
06/05/2020 12:00:00 PM,276,91,110,35,40
06/05/2020 01:00:00 PM,259,86,95,43,35
06/05/2020 02:00:00 PM,259,99,78,37,45
06/05/2020 03:00:00 PM,316,112,97,65,42
06/05/2020 04:00:00 PM,414,133,131,78,72
06/05/2020 05:00:00 PM,478,183,146,77,72
06/05/2020 06:00:00 PM,498,151,190,75,82
06/05/2020 07:00:00 PM,417,149,169,41,58
06/05/2020 08:00:00 PM,247,85,120,22,20
06/05/2020 09:00:00 PM,127,47,60,5,15
