Date,Spokane St. Bridge Total,West,East
06/01/2020 12:00:00 AM,2,2,0
06/01/2020 01:00:00 AM,1,0,1
06/01/2020 02:00:00 AM,2,2,0
06/01/2020 03:00:00 AM,1,0,1
06/01/2020 04:00:00 AM,3,1,2
06/01/2020 05:00:00 AM,36,5,31
06/01/2020 06:00:00 AM,79,20,59
06/01/2020 07:00:00 AM,58,8,50
06/01/2020 08:00:00 AM,53,13,40
06/01/2020 09:00:00 AM,32,11,21
06/01/2020 10:00:00 AM,26,10,16
06/01/2020 11:00:00 AM,34,14,20
06/01/2020 12:00:00 PM,41,19,22
06/01/2020 01:00:00 PM,44,20,24
06/01/2020 02:00:00 PM,73,42,31
06/01/2020 03:00:00 PM,95,62,33
06/01/2020 04:00:00 PM,117,70,47
06/01/2020 05:00:00 PM,125,86,39
06/01/2020 06:00:00 PM,62,46,16
06/01/2020 07:00:00 PM,35,25,10
06/01/2020 08:00:00 PM,21,7,14
06/01/2020 09:00:00 PM,9,5,4
06/01/2020 10:00:00 PM,0,0,0
06/01/2020 11:00:00 PM,0,0,0
06/02/2020 12:00:00 AM,0,0,0
06/02/2020 01:00:00 AM,0,0,0
06/02/2020 02:00:00 AM,0,0,0
06/02/2020 03:00:00 AM,0,0,0
06/02/2020 04:00:00 AM,0,0,0
06/02/2020 05:00:00 AM,0,0,0
06/02/2020 06:00:00 AM,0,0,0
06/02/2020 07:00:00 AM,0,0,0
06/02/2020 08:00:00 AM,54,9,45
06/02/2020 09:00:00 AM,40,8,32
06/02/2020 10:00:00 AM,44,19,25
06/02/2020 11:00:00 AM,41,15,26
06/02/2020 12:00:00 PM,35,16,19
06/02/2020 01:00:00 PM,50,22,28
06/02/2020 02:00:00 PM,76,46,30
06/02/2020 03:00:00 PM,68,45,23
06/02/2020 04:00:00 PM,77,55,22
06/02/2020 05:00:00 PM,75,57,18
06/02/2020 06:00:00 PM,45,36,9
06/02/2020 07:00:00 PM,33,18,15
06/02/2020 08:00:00 PM,16,10,6
06/02/2020 09:00:00 PM,19,12,7
06/02/2020 10:00:00 PM,9,4,5
06/02/2020 11:00:00 PM,8,5,3
06/03/2020 12:00:00 AM,10,8,2
06/03/2020 01:00:00 AM,9,6,3
06/03/2020 02:00:00 AM,1,1,0
06/03/2020 03:00:00 AM,1,0,1
06/03/2020 04:00:00 AM,2,1,1
06/03/2020 05:00:00 AM,25,5,20
06/03/2020 06:00:00 AM,74,13,61
06/03/2020 07:00:00 AM,73,20,53
06/03/2020 08:00:00 AM,49,12,37
06/03/2020 09:00:00 AM,33,7,26
06/03/2020 10:00:00 AM,30,14,16
06/03/2020 11:00:00 AM,40,17,23
06/03/2020 12:00:00 PM,54,31,23
06/03/2020 01:00:00 PM,55,24,31
06/03/2020 02:00:00 PM,71,36,35
06/03/2020 03:00:00 PM,100,65,35
06/03/2020 04:00:00 PM,120,69,51
06/03/2020 05:00:00 PM,139,91,48
06/03/2020 06:00:00 PM,100,65,35
06/03/2020 07:00:00 PM,68,30,38
06/03/2020 08:00:00 PM,30,17,13
06/03/2020 09:00:00 PM,18,9,9
06/03/2020 10:00:00 PM,9,6,3
06/03/2020 11:00:00 PM,3,3,0
06/04/2020 12:00:00 AM,3,3,0
06/04/2020 01:00:00 AM,8,6,2
06/04/2020 02:00:00 AM,2,1,1
