OBJECTID,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,CATEGORY,MATERIAL,STYLE,MODEL_TYPE,ASSET_WIDTH,ASSET_HEIGHT,INSTALL_DATE,ASBLT,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,ATTACHMENT_10,NUM_ATTACHMENTS,COMMENTS,CURRENT_STATUS,CURRENT_STATUS_DATE,CONDITION,CONDITION_ASSESSMENT_DATE,LAST_ASSET_VERIFICATION_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,OWNERSHIP,OWNERSHIP_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,MAINTENANCE_FINANCIAL_RESP,ADDBY,ADDDTTM,MODBY,MODDTTM,DATE_MVW_LAST_UPDATED,COLOR,MOUNT_TYPE,MOUNT_MATERIAL,MAINTENANCE_GROUP,SHAPE_Length
8,837463,16,15800,BKF-6207,BKF,N 65TH ST BETWEEN SUNNYSIDE AVE N AND 1ST AVE NE (BKF-SHW),BKF-SHW,,,,0,0,2011/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 162,PLNRECON,2011/12/31 00:00:00+00,,,2011/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,358.763354175837
41,836965,16,12957,BKF-5709,BKF,STONE WAY N BETWEEN N 36TH ST AND N 38TH ST (BKF-BL),BKF-BL,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,793.039395373885
49,834123,16,16028,BKF-2867,BKF,N 92ND ST BETWEEN FREMONT S AVE N AND LINDEN AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,663.675736289529
50,834124,16,16029,BKF-2868,BKF,N 92ND ST BETWEEN LINDEN AVE N AND AURORA AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,664.962206998124
51,834125,16,16030,BKF-2869,BKF,N 92ND ST BETWEEN AURORA AVE N AND STONE AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,798.621269068884
52,834126,16,16031,BKF-2870,BKF,N 92ND ST BETWEEN DEAD END AND ASHWORTH AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,544.108293231893
53,834127,16,16032,BKF-2871,BKF,N 92ND ST BETWEEN ASHWORTH AVE N AND WOODLAWN AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,239.515453640895
54,834128,16,16033,BKF-2872,BKF,N 92ND ST BETWEEN WOODLAWN AVE N AND DENSMORE AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,272.046173571024
55,834129,16,16034,BKF-2873,BKF,N 92ND ST BETWEEN DENSMORE AVE N AND WALLINGFORD AVE N (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,272.070534953269
56,834130,16,16036,BKF-2874,BKF,N 92ND ST BETWEEN COLLEGE WAY N AND MERIDIAN AVE N (BKF-PBL),BKF-PBL,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 611,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,300.521011851611
