,CATEGORY,INSTALL_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,SHAPE_Length,STREET,START,END
0,BKF-SHW,2011,DISTRICT6,,358.763354175837,N 65TH ST ,N 65TH ST AND SUNNYSIDE AVE N,1ST AVE NE AND N 65TH ST
1,BKF-BL,2007,DISTRICT4,,793.039395373885,STONE WAY N ,N 36TH ST AND STONE WAY N,N 38TH ST AND STONE WAY N
2,BKF-NGW,2017,DISTRICT5,,663.675736289529,N 92ND ST ,FREMONT S AVE N AND N 92ND ST,LINDEN AVE N AND N 92ND ST
3,BKF-NGW,2017,DISTRICT5,,664.962206998124,N 92ND ST ,LINDEN AVE N AND N 92ND ST,AURORA AVE N AND N 92ND ST
4,BKF-NGW,2017,DISTRICT5,,798.621269068884,N 92ND ST ,AURORA AVE N AND N 92ND ST,N 92ND ST AND STONE AVE N
5,BKF-NGW,2017,DISTRICT5,,544.108293231893,N 92ND ST ,DEAD END AND N 92ND ST,ASHWORTH AVE N AND N 92ND ST
6,BKF-NGW,2017,DISTRICT5,,239.515453640895,N 92ND ST ,ASHWORTH AVE N AND N 92ND ST,N 92ND ST AND WOODLAWN AVE N
7,BKF-NGW,2017,DISTRICT5,,272.046173571024,N 92ND ST ,N 92ND ST AND WOODLAWN AVE N,DENSMORE AVE N AND N 92ND ST
8,BKF-NGW,2017,DISTRICT5,,272.070534953269,N 92ND ST ,DENSMORE AVE N AND N 92ND ST,N 92ND ST AND WALLINGFORD AVE N
9,BKF-PBL,2017,DISTRICT5,,300.521011851611,N 92ND ST ,COLLEGE WAY N AND N 92ND ST,MERIDIAN AVE N AND N 92ND ST
10,BKF-PBL,2017,DISTRICT5,,345.631821692204,N 92ND ST ,MERIDIAN PL N AND N 92ND ST,CORLISS AVE N AND N 92ND ST
11,BKF-PBL,2017,DISTRICT5,,661.279823803889,N 92ND ST ,CORLISS AVE N AND N 92ND ST,1ST AVE NE AND N 92ND ST
12,BKF-PBL,1980,DISTRICT6,,149.472701187596,EAST GREEN LAKE DR N ,EAST GREEN LAKE DR N AND STROUD AVE N,EAST GREEN LAKE DR N AND WALLINGFORD AVE N
13,BKF-BL,2008,DISTRICT6,,204.672570610533,EAST GREEN LAKE WAY N ,EAST GREEN LAKE WAY N AND GREEN LAKE WAY N,EAST GREEN LAKE WAY N AND WEST GREEN LAKE WAY N
14,BKF-PBL,1980,DISTRICT6,,182.855708581174,EAST GREEN LAKE WAY N ,EAST GREEN LAKE WAY N AND WEST GREEN LAKE WAY N,EAST GREEN LAKE WAY N AND GREEN LAKE TURN RD
15,BKF-PBL,1980,DISTRICT6,,131.019188068066,EAST GREEN LAKE WAY N ,EAST GREEN LAKE WAY N AND GREEN LAKE TURN RD,EAST GREEN LAKE WAY N AND N 57TH ST
